ch,site,value
1.0,156382.0,0.31
1.0,11377.0,0.17
1.0,190205.0,0.868
1.0,93590.0,1.196
1.0,198140.0,0.517
1.0,190875.0,1.132
1.0,92308.0,0.171
1.0,9825.0,0.225
1.0,56338.0,0.828
1.0,200528.0,0.265
1.0,193381.0,0.743
1.0,66366.0,0.722
1.0,124983.0,1.611
1.0,200058.0,0.124
1.0,37789.0,2.246
1.0,51812.0,0.14
1.0,35571.0,1.396
1.0,184348.0,1.191
1.0,180535.0,2.129
1.0,123973.0,0.684
1.0,61158.0,0.514
1.0,61185.0,0.304
1.0,66275.0,1.376
1.0,44160.0,0.899
1.0,76717.0,0.629
1.0,3704.0,0.0939
1.0,119954.0,0.256
1.0,86843.0,0.762
1.0,48002.0,2.544
1.0,60728.0,2.972
1.0,69508.0,0.997
1.0,148174.0,0.232
1.0,61333.0,3.048
1.0,32519.0,3.429
1.0,125416.0,0.912
1.0,110454.0,0.467
1.0,132204.0,2.087
1.0,154094.0,0.271
1.0,167444.0,0.766
1.0,129271.0,2.207
1.0,69220.0,2.323
1.0,99703.0,0.961
1.0,143814.0,0.699
1.0,174619.0,2.064
1.0,126997.0,0.77
1.0,174229.0,1.036
1.0,121630.0,1.135
1.0,85767.0,0.185
1.0,120700.0,0.917
1.0,87072.0,0.643
1.0,112533.0,2.42
1.0,156436.0,0.413
1.0,121232.0,0.452
1.0,142314.0,0.108
1.0,6849.0,0.21
1.0,172073.0,0.0314
1.0,135747.0,0.0546
1.0,200895.0,0.38
1.0,98673.0,0.444
1.0,64881.0,0.959
1.0,133199.0,1.783
1.0,56558.0,0.744
1.0,71268.0,0.904
1.0,70357.0,0.33
1.0,110449.0,0.546
1.0,227339.0,0.403
1.0,6027.0,0.218
1.0,174854.0,0.83
1.0,195307.0,1.147
1.0,107732.0,0.7
1.0,167865.0,0.56
1.0,39542.0,0.661
1.0,145626.0,0.957
1.0,128897.0,1.38
1.0,36118.0,1.568
1.0,58537.0,0.753
1.0,144309.0,1.588
1.0,65844.0,0.375
1.0,86257.0,0.623
1.0,90909.0,0.437
1.0,148311.0,1.208
1.0,63333.0,1.754
1.0,36386.0,0.0935
1.0,122855.0,0.635
1.0,28871.0,0.81
1.0,180656.0,0.616
1.0,191663.0,2.073
1.0,30403.0,0.878
1.0,104053.0,0.45
1.0,64414.0,0.428
1.0,121412.0,0.255
1.0,7447.0,0.618
1.0,168658.0,0.632
1.0,37777.0,2.262
1.0,66688.0,0.563
1.0,134215.0,0.382
1.0,114052.0,1.031
1.0,117936.0,0.232
1.0,127589.0,2.221
1.0,100239.0,1.18
1.0,179941.0,0.965
1.0,96976.0,1.188
1.0,133625.0,0.891
1.0,129488.0,1.706
1.0,143874.0,1.052
1.0,91889.0,2.166
1.0,130365.0,0.767
1.0,189924.0,1.281
1.0,62925.0,0.982
1.0,40723.0,1.203
1.0,145767.0,0.358
1.0,178634.0,1.051
1.0,79510.0,0.265
1.0,132459.0,1.39
1.0,92531.0,0.264
1.0,149725.0,0.987
1.0,130464.0,0.921
1.0,179758.0,1.159
1.0,177357.0,1.168
1.0,199227.0,0.608
1.0,198528.0,0.801
1.0,129704.0,0.884
1.0,98373.0,0.324
1.0,79397.0,0.717
1.0,47160.0,0.886
1.0,156024.0,0.51
1.0,90408.0,0.319
1.0,3973.0,0.441
1.0,138297.0,1.253
1.0,86372.0,0.692
1.0,175687.0,0.544
1.0,35197.0,0.304
1.0,116784.0,0.945
1.0,96528.0,0.826
1.0,69282.0,1.748
1.0,114873.0,1.313
1.0,199785.0,0.349
1.0,105587.0,1.453
1.0,3594.0,0.147
1.0,36329.0,0.364
1.0,158949.0,2.022
1.0,147467.0,0.642
1.0,135033.0,0.708
1.0,195917.0,1.104
1.0,199777.0,0.388
1.0,141775.0,0.62
1.0,149808.0,0.803
1.0,202898.0,1.071
1.0,131113.0,2.454
1.0,86663.0,0.975
1.0,8884.0,0.573
1.0,76593.0,1.311
1.0,168754.0,3.987
1.0,125689.0,0.654
1.0,227132.0,0.806
1.0,195187.0,2.023
1.0,112731.0,1.222
1.0,121543.0,0.761
1.0,180375.0,0.519
1.0,159408.0,1.341
1.0,77903.0,0.792
1.0,229869.0,0.972
1.0,111376.0,1.559
1.0,69666.0,0.162
1.0,150332.0,0.781
1.0,143267.0,0.0707
1.0,127076.0,1.067
1.0,116921.0,1.444
1.0,130281.0,2.03
1.0,113690.0,0.833
1.0,149585.0,1.301
1.0,176083.0,0.115
1.0,173881.0,0.437
1.0,61586.0,1.388
1.0,65249.0,0.344
1.0,173343.0,1.337
1.0,157748.0,0.926
1.0,3377.0,0.225
1.0,179971.0,0.873
1.0,69614.0,0.525
1.0,76655.0,0.623
1.0,169001.0,1.546
1.0,119295.0,1.375
1.0,3529.0,0.528
1.0,158223.0,1.179
1.0,92562.0,0.164
1.0,56822.0,1.558
1.0,147562.0,0.047
1.0,44053.0,1.796
1.0,118619.0,0.359
1.0,119516.0,1.213
1.0,67650.0,0.913
1.0,35588.0,1.351
1.0,137033.0,1.487
1.0,146235.0,0.0615
1.0,105157.0,0.481
1.0,157301.0,1.189
1.0,96890.0,1.752
1.0,68534.0,1.283
1.0,97378.0,0.583
1.0,75803.0,1.526
1.0,156205.0,1.594
1.0,68280.0,1.767
1.0,11188.0,0.0854
1.0,146921.0,0.364
1.0,180090.0,0.455
1.0,133854.0,1.129
1.0,116125.0,1.323
1.0,99243.0,0.443
1.0,48256.0,0.234
1.0,170476.0,0.862
1.0,105166.0,0.466
1.0,134371.0,0.514
1.0,179025.0,0.226
1.0,6032.0,0.225
1.0,50645.0,0.249
1.0,9002.0,0.362
1.0,5628.0,0.211
1.0,189958.0,1.709
1.0,82757.0,0.764
1.0,128010.0,1.043
1.0,123330.0,1.005
1.0,175261.0,1.144
1.0,94166.0,0.697
1.0,7308.0,0.941
1.0,193404.0,0.656
1.0,114845.0,1.281
1.0,76325.0,0.446
1.0,69711.0,0.0848
1.0,34583.0,0.766
1.0,71652.0,0.0394
1.0,8923.0,0.526
1.0,73733.0,0.164
1.0,107908.0,1.006
1.0,109907.0,1.091
1.0,49207.0,0.256
1.0,80744.0,0.866
1.0,66118.0,1.463
1.0,138663.0,0.208
1.0,85423.0,0.774
1.0,118834.0,0.187
1.0,56917.0,0.249
1.0,123687.0,0.504
1.0,141853.0,0.752
1.0,134109.0,0.232
1.0,96434.0,0.738
1.0,175705.0,0.489
1.0,62031.0,0.71
1.0,43946.0,1.838
1.0,184608.0,0.497
1.0,130554.0,0.378
1.0,202575.0,0.919
1.0,200160.0,0.256
1.0,88745.0,0.784
1.0,105958.0,1.003
1.0,33247.0,1.365
1.0,71170.0,0.55
1.0,73861.0,0.565
1.0,72524.0,1.602
1.0,130184.0,1.502
1.0,106626.0,1.749
1.0,172062.0,0.0394
1.0,86322.0,0.63
1.0,157638.0,0.467
1.0,168712.0,2.951
1.0,124832.0,1.021
1.0,35028.0,0.321
1.0,48106.0,2.201
1.0,31286.0,0.425
1.0,67565.0,1.037
1.0,11299.0,0.153
1.0,197809.0,0.762
1.0,168862.0,1.317
1.0,128134.0,0.0311
1.0,48322.0,0.415
1.0,64259.0,0.248
1.0,47292.0,0.833
1.0,172136.0,0.209
1.0,134826.0,0.561
1.0,118405.0,0.0384
1.0,186143.0,0.888
1.0,151667.0,0.296
1.0,29471.0,0.226
1.0,89236.0,0.388
1.0,11062.0,0.186
1.0,31024.0,0.039
1.0,87966.0,0.725
1.0,30057.0,0.0928
1.0,57334.0,1.975
1.0,45270.0,0.514
1.0,39974.0,0.195
1.0,49449.0,0.225
1.0,69832.0,0.0854
1.0,37332.0,0.0463
1.0,6985.0,0.0859
1.0,115290.0,1.199
1.0,73140.0,1.776
1.0,144881.0,0.227
1.0,64418.0,0.422
1.0,142017.0,0.272
1.0,159074.0,0.939
1.0,149693.0,0.824
1.0,38525.0,0.918
1.0,134675.0,0.195
1.0,118151.0,0.543
1.0,71795.0,1.079
1.0,124061.0,0.849
1.0,99509.0,1.464
1.0,145441.0,0.816
1.0,91709.0,0.56
1.0,97758.0,0.792
1.0,126881.0,0.0235
1.0,134533.0,0.963
1.0,95740.0,0.629
1.0,131885.0,1.157
1.0,202592.0,0.919
1.0,60526.0,1.05
1.0,88691.0,0.575
1.0,31656.0,0.289
1.0,33994.0,2.06
1.0,110227.0,0.156
1.0,168407.0,0.614
1.0,198679.0,0.358
1.0,44164.0,0.962
1.0,129371.0,1.263
1.0,96015.0,0.429
1.0,54161.0,0.407
1.0,67332.0,1.296
1.0,56002.0,0.644
1.0,63709.0,0.536
1.0,170972.0,1.335
1.0,138068.0,0.24
1.0,167955.0,1.194
1.0,134129.0,0.108
1.0,153720.0,0.724
1.0,111794.0,1.513
1.0,119924.0,0.162
1.0,178577.0,1.104
1.0,170280.0,2.159
1.0,54718.0,1.096
1.0,149906.0,0.296
1.0,167100.0,0.368
1.0,10373.0,0.13
1.0,120341.0,1.061
1.0,76477.0,1.184
1.0,66535.0,0.187
1.0,47589.0,0.485
1.0,29307.0,0.717
1.0,124735.0,0.784
1.0,184460.0,0.357
1.0,114173.0,1.19
1.0,61228.0,2.636
1.0,101778.0,0.708
1.0,41136.0,1.277
1.0,83379.0,1.742
1.0,181526.0,1.836
1.0,61054.0,2.619
1.0,97079.0,0.787
1.0,175634.0,0.544
1.0,92789.0,0.272
1.0,121561.0,0.792
1.0,77092.0,0.535
1.0,97230.0,0.546
1.0,109962.0,0.868
1.0,78749.0,0.825
1.0,59229.0,1.226
1.0,142860.0,2.099
1.0,196118.0,0.318
1.0,9999.0,0.372
1.0,66255.0,1.449
1.0,9092.0,0.324
1.0,102897.0,0.827
1.0,31843.0,0.992
1.0,113462.0,0.497
1.0,115615.0,1.763
1.0,158512.0,1.12
1.0,4229.0,0.913
1.0,82409.0,0.38
1.0,7674.0,1.135
1.0,178428.0,0.654
1.0,107021.0,1.16
1.0,49454.0,0.217
1.0,4874.0,0.849
1.0,125733.0,1.108
1.0,83707.0,0.996
1.0,172818.0,1.237
1.0,63264.0,1.294
1.0,166737.0,0.415
1.0,144569.0,0.636
1.0,73333.0,0.039
1.0,85407.0,0.829
1.0,95021.0,0.864
1.0,142416.0,0.32
1.0,156856.0,1.919
1.0,40293.0,1.752
1.0,136995.0,1.123
1.0,148554.0,0.271
1.0,99024.0,0.729
1.0,32507.0,3.522
1.0,49014.0,1.338
1.0,132686.0,0.661
1.0,150783.0,1.022
1.0,3254.0,0.465
1.0,95863.0,0.897
1.0,40920.0,1.351
1.0,42720.0,0.194
1.0,86061.0,0.563
1.0,96257.0,1.448
1.0,194593.0,0.208
1.0,7132.0,0.0699
1.0,75691.0,1.72
1.0,128112.0,0.0783
1.0,186113.0,1.022
1.0,132761.0,0.538
1.0,44894.0,0.824
1.0,73525.0,0.397
1.0,137722.0,0.225
1.0,108828.0,1.348
1.0,124609.0,0.758
1.0,32826.0,1.102
1.0,192377.0,0.341
1.0,156982.0,0.39
1.0,89158.0,0.451
1.0,3227.0,0.41
1.0,114312.0,1.748
1.0,97915.0,0.295
1.0,167570.0,0.794
1.0,50736.0,0.218
1.0,58968.0,0.999
1.0,48376.0,0.508
1.0,108384.0,1.519
1.0,169033.0,1.328
1.0,107640.0,0.638
1.0,134314.0,0.757
1.0,167219.0,0.613
1.0,115414.0,0.812
1.0,10041.0,0.31
1.0,33177.0,2.088
1.0,141628.0,0.452
1.0,227411.0,0.225
1.0,56280.0,0.588
1.0,144266.0,1.658
1.0,68804.0,1.869
1.0,121286.0,0.257
1.0,8341.0,0.944
1.0,184186.0,1.267
1.0,108953.0,0.592
1.0,154515.0,0.975
1.0,70428.0,0.204
1.0,177374.0,1.106
1.0,146515.0,0.384
1.0,74823.0,0.798
1.0,59281.0,0.75
1.0,157171.0,0.677
1.0,229904.0,0.973
1.0,68376.0,1.283
1.0,49799.0,0.596
1.0,62503.0,1.517
1.0,118172.0,0.389
1.0,143875.0,1.052
1.0,61326.0,3.04
1.0,196402.0,0.233
1.0,181428.0,0.489
1.0,193118.0,2.025
1.0,120280.0,0.956
1.0,159270.0,0.483
1.0,137106.0,1.454
1.0,35195.0,0.265
1.0,195708.0,0.529
1.0,83528.0,1.167
1.0,50793.0,0.475
1.0,123812.0,0.653
1.0,124231.0,0.933
1.0,130371.0,0.781
1.0,103468.0,0.708
1.0,177424.0,0.818
1.0,32417.0,1.336
1.0,94073.0,0.713
1.0,134547.0,1.017
1.0,189992.0,1.715
1.0,7192.0,0.172
1.0,8127.0,1.518
1.0,36511.0,0.211
1.0,97649.0,0.484
1.0,6297.0,0.217
1.0,173777.0,0.89
1.0,179361.0,1.113
1.0,174720.0,0.795
1.0,52781.0,0.0782
1.0,136196.0,0.653
1.0,138901.0,0.304
1.0,170751.0,1.001
1.0,83623.0,1.319
1.0,45596.0,0.0543
1.0,43659.0,0.538
1.0,169159.0,0.506
1.0,151197.0,1.647
1.0,195188.0,2.023
1.0,175331.0,1.392
1.0,157216.0,0.402
1.0,79042.0,1.155
1.0,126672.0,0.607
1.0,80062.0,0.626
1.0,50811.0,0.475
1.0,101619.0,0.845
1.0,62086.0,1.231
1.0,81815.0,0.727
1.0,173443.0,2.216
1.0,149094.0,0.171
1.0,127556.0,2.017
1.0,58536.0,0.753
1.0,143246.0,0.055
1.0,64580.0,1.973
1.0,159389.0,1.334
1.0,102751.0,0.6
1.0,148976.0,0.849
1.0,169339.0,0.802
1.0,144147.0,1.406
1.0,106179.0,0.326
1.0,111298.0,1.117
1.0,4826.0,0.718
1.0,134107.0,0.264
1.0,111829.0,1.918
1.0,37737.0,2.81
1.0,124264.0,0.926
1.0,99189.0,1.129
1.0,197184.0,0.211
1.0,151339.0,0.108
1.0,106008.0,0.483
1.0,99533.0,1.503
1.0,62165.0,1.685
1.0,36473.0,0.109
1.0,104368.0,0.352
1.0,142176.0,0.442
1.0,33761.0,1.663
1.0,73459.0,0.21
1.0,173037.0,0.731
1.0,71957.0,1.9
1.0,129864.0,1.109
1.0,184128.0,1.469
1.0,91483.0,0.157
1.0,128014.0,1.043
1.0,146272.0,0.0619
1.0,192387.0,0.365
1.0,166531.0,0.428
1.0,153815.0,1.122
1.0,172057.0,0.0394
1.0,35042.0,0.289
1.0,66825.0,1.482
1.0,168944.0,1.289
1.0,159932.0,0.0854
1.0,60968.0,2.541
1.0,135084.0,0.834
1.0,3385.0,0.225
1.0,200378.0,0.537
1.0,185549.0,0.585
1.0,66992.0,0.47
1.0,67235.0,1.083
1.0,30644.0,0.421
1.0,96674.0,0.163
1.0,99380.0,1.686
1.0,54952.0,0.0854
1.0,133919.0,0.583
1.0,105919.0,1.081
1.0,62316.0,1.634
1.0,81288.0,0.854
1.0,132073.0,0.178
1.0,46117.0,1.086
1.0,37767.0,2.294
1.0,132145.0,0.6
1.0,189988.0,1.7
1.0,101471.0,0.055
1.0,158696.0,0.8
1.0,197222.0,0.125
1.0,49614.0,0.21
1.0,123867.0,1.015
1.0,87576.0,1.484
1.0,186158.0,0.959
1.0,150443.0,0.505
1.0,84150.0,1.838
1.0,190038.0,1.608
1.0,180065.0,0.394
1.0,52240.0,0.983
1.0,121727.0,0.806
1.0,39794.0,0.91
1.0,186911.0,0.796
1.0,195200.0,2.085
1.0,64305.0,0.309
1.0,59714.0,1.989
1.0,74800.0,0.947
1.0,122546.0,0.124
1.0,191986.0,2.366
1.0,168395.0,0.645
1.0,9514.0,0.733
1.0,40819.0,1.364
1.0,83255.0,0.148
1.0,79260.0,1.34
1.0,148864.0,0.552
1.0,171547.0,0.677
1.0,99995.0,0.358
1.0,137191.0,1.135
1.0,179237.0,0.298
1.0,87122.0,0.829
1.0,108750.0,0.125
1.0,123021.0,0.913
1.0,61476.0,1.806
1.0,84330.0,0.955
1.0,171916.0,0.109
1.0,35990.0,1.217
1.0,109084.0,2.122
1.0,92327.0,0.0702
1.0,166764.0,0.556
1.0,136037.0,0.956
1.0,145295.0,0.451
1.0,110084.0,0.694
1.0,201363.0,1.251
1.0,67186.0,0.899
1.0,190088.0,1.176
1.0,91981.0,0.575
1.0,126872.0,0.0235
1.0,42458.0,1.946
1.0,49893.0,0.2
1.0,90901.0,0.438
1.0,133759.0,1.372
1.0,73894.0,0.519
1.0,191198.0,1.888
1.0,50259.0,1.059
1.0,191343.0,1.189
1.0,107333.0,1.154
1.0,119148.0,0.636
1.0,110916.0,1.53
1.0,122310.0,0.773
1.0,191041.0,1.159
1.0,130632.0,0.0928
1.0,199102.0,0.939
1.0,49615.0,0.21
1.0,45416.0,1.237
1.0,95034.0,0.81
1.0,122848.0,0.705
1.0,71022.0,0.0235
1.0,195829.0,0.942
1.0,129991.0,1.961
1.0,5797.0,0.481
1.0,115150.0,1.166
1.0,47244.0,0.881
1.0,95020.0,0.887
1.0,119955.0,0.256
1.0,94256.0,0.37
1.0,82144.0,1.538
1.0,100844.0,0.862
1.0,50333.0,1.004
1.0,128968.0,1.753
1.0,30464.0,1.178
1.0,185983.0,0.529
1.0,97865.0,0.518
1.0,51222.0,1.159
1.0,137788.0,0.526
1.0,74493.0,1.633
1.0,102480.0,0.631
1.0,89290.0,0.451
1.0,180805.0,0.326
1.0,197952.0,0.398
1.0,180448.0,1.722
1.0,56758.0,2.173
1.0,5436.0,0.36
1.0,69869.0,0.567
1.0,147855.0,1.119
1.0,43505.0,1.977
1.0,89867.0,0.528
1.0,201400.0,0.953
1.0,33644.0,1.604
1.0,74432.0,1.314
1.0,33910.0,1.6
1.0,60525.0,1.05
1.0,158243.0,1.202
1.0,170172.0,0.817
1.0,148451.0,0.295
1.0,111827.0,1.854
1.0,169512.0,1.876
1.0,169748.0,1.64
1.0,179890.0,1.133
1.0,49506.0,0.264
1.0,112901.0,1.02
1.0,175100.0,1.483
1.0,156588.0,0.559
1.0,99238.0,0.404
1.0,82432.0,0.301
1.0,33361.0,0.358
1.0,97561.0,0.544
1.0,80491.0,1.363
1.0,191982.0,2.366
1.0,198697.0,0.366
1.0,78944.0,0.411
1.0,175675.0,0.551
1.0,134024.0,0.955
1.0,81907.0,0.42
1.0,35508.0,1.372
1.0,153790.0,1.106
1.0,6318.0,0.14
1.0,167778.0,1.738
1.0,72817.0,3.426
1.0,9105.0,0.324
1.0,182164.0,1.256
1.0,89757.0,0.636
1.0,179569.0,0.382
1.0,85456.0,0.562
1.0,176011.0,0.381
1.0,199638.0,0.376
1.0,101613.0,0.837
1.0,48244.0,0.242
1.0,7289.0,0.965
1.0,127196.0,1.025
1.0,120524.0,1.092
1.0,106955.0,0.849
1.0,81747.0,0.861
1.0,130649.0,0.0615
1.0,92063.0,1.404
1.0,152981.0,0.801
1.0,71410.0,0.934
1.0,80453.0,1.393
1.0,159114.0,1.157
1.0,194408.0,1.097
1.0,48941.0,0.885
1.0,126457.0,0.584
1.0,4376.0,1.394
1.0,9363.0,1.982
1.0,86681.0,1.159
1.0,129543.0,1.575
1.0,84174.0,1.412
1.0,82982.0,1.64
1.0,108295.0,1.261
1.0,133629.0,0.753
1.0,51971.0,1.134
1.0,121221.0,0.489
1.0,107505.0,2.586
1.0,129387.0,1.147
1.0,56928.0,0.179
1.0,124225.0,0.933
1.0,5279.0,0.389
1.0,91073.0,0.427
1.0,117557.0,0.366
1.0,93876.0,0.763
1.0,5495.0,0.352
1.0,186819.0,0.468
1.0,96184.0,0.466
1.0,186801.0,0.484
1.0,138737.0,0.178
1.0,156488.0,0.754
1.0,91859.0,2.473
1.0,125943.0,0.723
1.0,44975.0,1.138
1.0,54715.0,1.134
1.0,147499.0,0.276
1.0,65406.0,0.21
1.0,59434.0,1.757
1.0,172472.0,0.902
1.0,68971.0,1.49
1.0,176279.0,0.115
1.0,55501.0,0.164
1.0,131178.0,1.019
1.0,196807.0,0.644
1.0,103881.0,1.145
1.0,57113.0,1.146
1.0,195295.0,1.209
1.0,41567.0,1.212
1.0,97734.0,0.662
1.0,98855.0,0.482
1.0,65644.0,0.0314
1.0,39203.0,0.819
1.0,74229.0,1.251
1.0,62128.0,1.652
1.0,74748.0,1.173
1.0,65813.0,0.345
1.0,61119.0,1.024
1.0,79215.0,1.039
1.0,134775.0,0.298
1.0,160027.0,0.364
1.0,148696.0,0.299
1.0,126053.0,0.326
1.0,58902.0,1.2
1.0,44730.0,1.606
1.0,9667.0,0.516
1.0,143419.0,0.101
1.0,56923.0,0.202
1.0,197308.0,0.888
1.0,59577.0,1.726
1.0,56255.0,0.397
1.0,90292.0,0.334
1.0,81996.0,0.606
1.0,96098.0,0.624
1.0,47649.0,1.619
1.0,59102.0,3.014
1.0,53771.0,0.622
1.0,107696.0,0.591
1.0,90255.0,0.723
1.0,9271.0,0.148
1.0,55801.0,0.17
1.0,93191.0,1.171
1.0,142837.0,2.128
1.0,192658.0,0.784
1.0,138630.0,0.388
1.0,63926.0,0.374
1.0,201112.0,0.314
1.0,35758.0,0.921
1.0,29936.0,0.561
1.0,46550.0,2.13
1.0,134662.0,0.505
1.0,173439.0,2.27
1.0,202165.0,0.366
1.0,68335.0,1.579
1.0,108457.0,1.112
1.0,81483.0,0.527
1.0,166835.0,0.938
1.0,131422.0,1.796
1.0,58358.0,1.274
1.0,55419.0,0.0629
1.0,80747.0,0.866
1.0,167120.0,0.474
1.0,152976.0,0.778
1.0,155362.0,1.014
1.0,138227.0,1.736
1.0,120495.0,0.959
1.0,154247.0,1.774
1.0,132765.0,0.546
1.0,197238.0,0.225
1.0,135812.0,0.847
1.0,96205.0,0.632
1.0,48099.0,2.288
1.0,65753.0,0.141
1.0,5172.0,0.676
1.0,167857.0,0.599
1.0,181457.0,0.73
1.0,128228.0,0.33
1.0,64703.0,0.787
1.0,39774.0,0.903
1.0,182314.0,0.611
1.0,173483.0,1.706
1.0,172091.0,0.047
1.0,186461.0,0.428
1.0,83287.0,0.434
1.0,168616.0,0.765
1.0,54033.0,0.46
1.0,93009.0,1.908
1.0,198852.0,0.219
1.0,78922.0,0.999
1.0,141584.0,0.413
1.0,95103.0,1.243
1.0,73844.0,0.581
1.0,53892.0,1.011
1.0,156049.0,0.603
1.0,33448.0,0.428
1.0,76197.0,1.267
1.0,37137.0,0.489
1.0,125661.0,0.164
1.0,68103.0,0.131
1.0,36384.0,0.0935
1.0,113584.0,1.145
1.0,150411.0,0.659
1.0,66495.0,0.187
1.0,104023.0,0.404
1.0,8812.0,0.627
1.0,79613.0,0.233
1.0,99062.0,1.06
1.0,124856.0,1.294
1.0,45058.0,0.944
1.0,103690.0,0.225
1.0,58728.0,2.138
1.0,158736.0,0.654
1.0,123978.0,0.677
1.0,104663.0,0.446
1.0,169113.0,0.561
1.0,193284.0,1.667
1.0,171996.0,0.0235
1.0,126936.0,0.527
1.0,141994.0,0.264
1.0,74409.0,1.167
1.0,46767.0,1.297
1.0,179178.0,0.256
1.0,125147.0,1.032
1.0,179996.0,0.644
1.0,77161.0,0.496
1.0,189977.0,1.653
1.0,95322.0,0.34
1.0,100994.0,1.722
1.0,101922.0,0.432
1.0,147754.0,1.001
1.0,44220.0,1.805
1.0,91323.0,1.231
1.0,172643.0,0.101
1.0,33558.0,2.122
1.0,76865.0,0.808
1.0,80946.0,2.051
1.0,65703.0,0.0394
1.0,36223.0,1.247
1.0,53850.0,0.731
1.0,172594.0,0.729
1.0,201429.0,0.669
1.0,88019.0,0.567
1.0,30905.0,0.164
1.0,55683.0,0.195
1.0,46431.0,1.441
1.0,143842.0,0.792
1.0,64147.0,0.654
1.0,192528.0,0.101
1.0,143406.0,0.0782
1.0,52262.0,0.578
1.0,8202.0,1.278
1.0,110839.0,0.972
1.0,168233.0,0.569
1.0,59085.0,2.796
1.0,194268.0,1.106
1.0,227063.0,0.91
1.0,149421.0,1.197
1.0,57196.0,1.304
1.0,106238.0,0.223
1.0,199646.0,0.368
1.0,159905.0,0.0699
1.0,150941.0,0.481
1.0,5621.0,0.211
1.0,31902.0,1.118
1.0,102564.0,0.397
1.0,133973.0,0.94
1.0,76224.0,1.211
1.0,40796.0,1.108
1.0,54530.0,1.245
1.0,45827.0,0.311
1.0,86397.0,0.801
1.0,94784.0,0.886
1.0,85208.0,0.996
1.0,43856.0,1.105
1.0,147706.0,0.635
1.0,135991.0,1.262
1.0,128356.0,0.511
1.0,150095.0,0.596
1.0,176174.0,0.184
1.0,157389.0,0.924
1.0,153926.0,0.179
1.0,6102.0,0.249
1.0,36199.0,1.217
1.0,7159.0,0.116
1.0,36739.0,0.388
1.0,38741.0,0.84
1.0,154026.0,0.0235
1.0,132605.0,1.059
1.0,51369.0,1.268
1.0,76777.0,0.706
1.0,41407.0,1.731
1.0,70828.0,0.131
1.0,75140.0,1.237
1.0,62038.0,0.67
1.0,119957.0,0.256
1.0,42286.0,1.293
1.0,29288.0,0.53
1.0,153401.0,1.023
1.0,153454.0,1.391
1.0,171712.0,1.526
1.0,86737.0,0.964
1.0,38113.0,0.66
1.0,102289.0,0.419
1.0,79291.0,1.287
1.0,74995.0,0.0155
1.0,120724.0,1.222
1.0,54445.0,0.793
1.0,178940.0,0.762
1.0,32477.0,3.336
1.0,192942.0,1.783
1.0,170479.0,0.878
1.0,86540.0,0.265
1.0,38121.0,0.658
1.0,199222.0,0.569
1.0,47744.0,1.568
1.0,46547.0,2.144
1.0,101082.0,0.771
1.0,137920.0,0.741
1.0,153086.0,0.822
1.0,84428.0,1.527
1.0,148353.0,0.922
1.0,49168.0,0.304
1.0,50358.0,0.348
1.0,181728.0,1.436
1.0,5896.0,0.468
1.0,29823.0,0.273
1.0,45067.0,0.912
1.0,50173.0,0.529
1.0,72343.0,1.045
1.0,168387.0,0.771
1.0,87718.0,0.65
1.0,196121.0,0.334
1.0,88878.0,1.081
1.0,121924.0,0.694
1.0,129624.0,1.326
1.0,117774.0,0.405
1.0,133964.0,0.87
1.0,105416.0,0.28
1.0,201723.0,0.657
1.0,80109.0,0.926
